class,org,org_type,pi_first,pi_sur,title,pclass,status,owner,end,grant,scheme,start,total
Catalysis & Applied Catalysis,University of St Andrews,LEAD ORGANISATION,Paul,Kamer,Clean catalysis for sustainable development,Catalysis & surfaces,Active,EPSRC,10/31/2017,Research Grant,Standard Research,11/1/2012,2117952.876
Palaeoenvironments,Bangor University,LEAD ORGANISATION,James,Scourse,BRITICE-CHRONO,Climate & climate change,Active,NERC,10/31/2017,Research Grant,Consortiums (FEC),11/1/2012,182494.726
Soil science,Singapore-MIT Alliance,PROJECT PARTNER,Vincent,Gauci,The contribution of trees to tropical wetland methane emissions,Terrest. & freshwater environ.,Active,NERC,10/31/2017,Research Grant,Standard Grant (FEC),11/1/2012,472580.27
Climate & Climate Change,National Oceanography Centre,LEAD ORGANISATION,Elizabeth,Kent,Historical Ocean Surface Temperatures: Adjustment; Characterisation and Evaluation (HOSTACE),Climate & climate change,Active,NERC,9/30/2019,Research Grant,Standard Grant (FEC),11/1/2012,688361.706
Optical Devices & Subsystems,University of Bath,LEAD ORGANISATION,Steven,Andrews,Terahertz Gas-Fiber Photonics,Electrical engineering,Active,EPSRC,5/4/2016,Research Grant,Standard Research,11/5/2012,683529.704
Optical Devices & Subsystems,University of Plymouth,LEAD ORGANISATION,Phillip,Culverhouse,Grating and waveguide plasmonic sensors,Electrical engineering,Active,EPSRC,6/4/2016,Research Grant,Standard Research,11/5/2012,192938.706
Analytical Science,University of Leeds,LEAD ORGANISATION,Karl Johan Linus,Mattsson,Probing the dynamics and structure of soft matter and out-of-equilibrium materials using 3D-photon correlation spectroscopy,"Tools, technologies & methods",Active,EPSRC,11/8/2017,Research Grant,Standard Research,11/9/2012,157821.9
Med.Instrument.Device& Equip.,University Hospitals of Leicester NHS Trust,COLLABORATOR,Nigel,Bannister,Spectroscopic identification of corneal infection,Medical & health interface,Closed,STFC,3/11/2014,Research Grant,Mini IPS (fEC),11/12/2012,119613.21
Materials Synthesis & Growth,Nottingham Trent University,LEAD ORGANISATION,Robert,Stevens,Point-of-Care Chemiluminescent Diagnostic for 'early detection'of the predisposition to Type 2 diabetes.,Materials sciences,Closed,STFC,2/13/2014,Research Grant,Futures,11/14/2012,48736.62
Tropospheric Processes,University of Reading,LEAD ORGANISATION,Helen,Dacre,A modeling study of the impact of meso-scale air sea interactions over the Gulf Stream on weather and climate,Atmospheric phys. & chemistry,Closed,NERC,11/13/2015,Research Grant,Standard Grant (FEC),11/14/2012,27568.878
Magnetism/Magnetic Phenomena,University of Bath,PROJECT PARTNER,Lesley,Cohen,ULTRA-HIGH-RESOLUTION; ULTRA-SENSITIVE MULTIFUNCTIONAL BALLISTIC NANO SENSORS FOR THE SIMULTANEOUS DETECTION OF MAGNETIC; ELECTRIC AND OPTICAL FIELDS,"Supercond, magn. &quant.fluids",Active,EPSRC,5/13/2016,Research Grant,Standard Research,11/14/2012,493257.62
Surfaces & Interfaces,Nottingham Trent University,LEAD ORGANISATION,Robert,Stevens,Microplasmas from Diamond Arrays,Catalysis & surfaces,Closed,EPSRC,2/18/2014,Research Grant,Standard Research,11/19/2012,73237.656
Medical Imaging,Food and Environment Research Agency (FERA),COLLABORATOR,Liangxiu,Han,AGILE: A Cloud Approach to Automatic Gene Expression Pattern Recognition and Annotation Over Large-Scale Images,"Tools, technologies & methods",Closed,BBSRC,12/31/2013,Research Grant,Small Grants,11/26/2012,110684.858
Complex fluids & soft solids,University of Leeds,LEAD ORGANISATION,Karl Johan Linus,Mattsson,Dynamic arrest and non-equilibrium behaviour in suspensions of deformable colloids,Catalysis & surfaces,Closed,EPSRC,5/28/2014,Research Grant,First Grant - Revised 2009,11/29/2012,100410.35
Catalysis & Applied Catalysis,GlaxoSmithKline PLC,PROJECT PARTNER,George,Jackson,Molecular Systems Engineering of High-Value Structured and Formulated Products,Catalysis & surfaces,Active,EPSRC,11/29/2017,Research Grant,Platform Grants,11/30/2012,1535483.382
Climate & Climate Change,Durham University,LEAD ORGANISATION,Jon,Gluyas,Muon tomography for geological repositories,Climate & climate change,Closed,STFC,11/30/2013,Research Grant,Futures,12/1/2012,2370.992
Materials Characterisation,University College London,LEAD ORGANISATION,Neal,Skipper,Xray studies of the antiferromagnetic spin-density wave in CrV films,Materials sciences,Closed,EPSRC,8/31/2014,Research Grant,Standard Research,12/1/2012,106387.874
Energy - Nuclear,City University London,LEAD ORGANISATION,Philip,Thomas,Management of Nuclear Risk Issues: Environmental; Financial and Safety (NREFS),Energy,Closed,EPSRC,11/30/2014,Research Grant,Standard Research - NR1,12/1/2012,485825.46
Catalysis & Applied Catalysis,University of Bristol,LEAD ORGANISATION,David,Fermin,Electrochemical Oxidation of Low Molecular Weight Alkanes to Liquid Fuels at Molecular Interfaces,Catalysis & surfaces,Closed,EPSRC,9/30/2015,Research Grant,Standard Research,12/1/2012,271685.272
Materials Characterisation,University of Exeter,LEAD ORGANISATION,Robert,Hicken,Materials World Network: Spin dynamics of the ferromagnet/antiferromagnet interface studied by time-resolved x-ray magnetic dichroism,Materials sciences,Closed,EPSRC,11/30/2015,Research Grant,Standard Research,12/1/2012,359853.06
Quantum Optics & Information,University College London,LEAD ORGANISATION,Sougato,Bose,Nonclassicalities and Quantum Control at the Nanoscale,"Optics, photonics & lasers",Active,EPSRC,2/17/2016,Research Grant,Standard Research,12/1/2012,1166349.802
Optoelect. Devices & Circuits,Heriot-Watt University,LEAD ORGANISATION,Ian,Galbraith,The Influence of Excited State Physics in Conjugated Polymer Devices,Electrical engineering,Active,EPSRC,5/31/2016,Research Grant,Standard Research,12/1/2012,356462.194
Quantum Optics & Information,University of Leeds,LEAD ORGANISATION,Paul,Martin,Physical; algebraic and geometric underpinnings of topological quantum computation,"Optics, photonics & lasers",Active,EPSRC,11/30/2017,Research Grant,Standard Research,12/1/2012,803404.71
Instrumentation Eng. & Dev.,Defence Science & Tech Lab DSTL,COFUNDER,Mark,Tracey,Self-regenerating; suspended-phase whole-cell biosensor system employing micro-chemostat and cell engineering technologies,Chemical measurement,Closed,BBSRC,12/2/2013,Research Grant,Small Grants,12/3/2012,44205.992
Optical Devices & Subsystems,BAE Systems,COLLABORATOR,Walter,Lubeigt,Advanced Controllable Raman Lasers,Electrical engineering,Closed,EPSRC,12/2/2014,Research Grant,First Grant - Revised 2009,12/3/2012,100626.074
Medical science & disease,University of Southampton,LEAD ORGANISATION,David,Gurnham,Criminalising Contagion: Legal and Ethical Challenges of Disease Transmission and the criminal law,Medical & health interface,Closed,ESRC,12/2/2014,Research Grant,Seminars,12/3/2012,15101.13
Catalysis & Applied Catalysis,University of Oxford,LEAD ORGANISATION,Andrew,Weller,Phosphine-Borane Dehydrocoupling: The Synthesis of Tailored New Materials through Mechanistic Studies of Catalytic Processes.,Catalysis & surfaces,Closed,EPSRC,12/2/2015,Research Grant,Standard Research,12/3/2012,354177.92
Stellar Astronomy,University of Cambridge,LEAD ORGANISATION,David,Green,PATT Standard T&amp;S Grant December 2012 for Dr D A Green,Astronomy Observation,Closed,STFC,3/4/2013,Research Grant,PATT Travel,12/5/2012,1000
Civil Engineering Materials,Stanford University,COLLABORATOR,Pierre,Kerfriden,Towards rationalised computational expense for simulating fracture over multiple scales,Materials processing,Closed,EPSRC,1/8/2014,Research Grant,First Grant - Revised 2009,12/9/2012,99890.812
Tools for the biosciences,University of Strathclyde,LEAD ORGANISATION,Duncan,Graham,A new tool for investigating biological interactions based on nanoparticle interactions,"Tools, technologies & methods",Closed,BBSRC,12/9/2013,Research Grant,Small Grants,12/10/2012,92339.746
Catalysis & Applied Catalysis,University of Glasgow,LEAD ORGANISATION,Justin,Hargreaves,Controlled ensemble size and elucidation of structure-sensitivity: a new approach in nitride catalysis,Catalysis & surfaces,Active,EPSRC,6/11/2016,Research Grant,Standard Research,12/12/2012,310306.714
Climate & Climate Change,Aberystwyth University,LEAD ORGANISATION,Philippa,Moore,Shifting climate as a predictor for change in marine biodiversity at local; regional and global scales,Climate & climate change,Active,NERC,10/31/2016,Research Grant,Standard Grant (FEC),12/19/2012,25709.16
Soil science,Natural Environment Research Council,COFUNDER,Sacha,Mooney,Microbial controls upon hydraulic behaviour at the soil surface,Terrest. & freshwater environ.,Closed,BBSRC,12/20/2015,Research Grant,Standard Grant,12/21/2012,346968.454
Materials Characterisation,Chinese University of Hong Kong,COLLABORATOR,John,Morton,Quantum spintronics using donors in isotopically engineered silicon,Materials sciences,Closed,EPSRC,7/30/2013,Research Grant,Standard Research,12/31/2012,11845.568
Materials Characterisation,University of Cambridge,COLLABORATOR,Kevin,Critchley,Ultrathin Gold Nanowire Biosensors,Materials sciences,Closed,EPSRC,10/30/2013,Research Grant,First Grant - Revised 2009,12/31/2012,99998.288
Tools for the biosciences,Defence Science & Tech Lab DSTL,COFUNDER,Susan,Rosser,Generation of a large family of genetic logic gates for applications in biosensing and information processing,"Tools, technologies & methods",Closed,BBSRC,10/31/2013,Research Grant,Small Grants,12/31/2012,120185.17
Medical science & disease,Public Health England (formerly: Health Protection Agency),COLLABORATOR,Jonathan,Read,Social assortativity and contagious processes in modern Britain.,Medical & health interface,Closed,ESRC,6/30/2014,Research Grant,Small Grants,12/31/2012,159618.112
Survey & Monitoring,University of Essex,LEAD ORGANISATION,Peter,Lugtig,Survey data quality in panel surveys: trade-offs between nonresponse and measurement errors,Instrument. sensor & detectors,Active,ESRC,12/30/2015,Research Grant,Research Grants,12/31/2012,129016.24
Materials Processing,Rolls-Royce plc,PROJECT PARTNER,Peter,Cawley,Potential Drop Monitoring of Creep Damage,Materials processing,Closed,EPSRC,12/30/2015,Research Grant,Standard Research,12/31/2012,284148.176
Tropospheric Processes,University of Oxford,LEAD ORGANISATION,Philip,Stier,Global Aerosol Synthesis and Science Project (GASSP) - to reduce the uncertainty in aerosol radiative forcing,Atmospheric phys. & chemistry,Active,NERC,4/30/2016,Research Grant,Standard Grant (FEC),12/31/2012,232949.088
Climate & Climate Change,Georgia Institute of Technology,PROJECT PARTNER,Kenneth,Carslaw,Global Aerosol Synthesis and Science Project (GASSP) to reduce the uncertainty in aerosol radiative forcing,Climate & climate change,Active,NERC,4/30/2016,Research Grant,Standard Grant (FEC),12/31/2012,436300.7
Tectonic Processes,University of Southampton,LEAD ORGANISATION,Damon,Teagle,Evolution of the physical; geochemical and mechanical properties of the Alpine Fault Zone: A journey through an active plate boundary,Geosciences,Active,NERC,6/30/2016,Research Grant,Standard Grant (FEC),12/31/2012,357724.76
Analytical Science,University of Birmingham,LEAD ORGANISATION,Nigel,Simpkins,Chemistry at Birmingham: a Response to the EPSRC Call: Core Capability for Chemistry Research,"Tools, technologies & methods",Closed,EPSRC,3/31/2013,Research Grant,Standard Research - NR1,1/1/2013,905931.5475
Analytical Science,University of Bristol,LEAD ORGANISATION,John,Crosby,Core Capability for Chemistry Research - Strategic Investment in Mass Spectrometry,"Tools, technologies & methods",Closed,EPSRC,3/31/2013,Research Grant,Standard Research - NR1,1/1/2013,1526113.948
Analytical Science,University of York,LEAD ORGANISATION,Richard,Taylor,Core Capability - University of York,"Tools, technologies & methods",Closed,EPSRC,3/31/2013,Research Grant,Standard Research - NR1,1/1/2013,834522.0013
Macro-molecular delivery,Defence Science & Tech Lab DSTL,COFUNDER,Ian,Hamley,Smart Materials for Wound Healing: A New Fast Acting in situ Method to Treat Skin and Eye wounds,Atomic & molecular physics,Closed,BBSRC,12/31/2013,Research Grant,Small Grants,1/1/2013,122469.712
Climate & Climate Change,University of Essex,LEAD ORGANISATION,Simonetta,Longhi,The Distribution and Dynamics of UK Citizens' Environmental Attitudes; Behaviours and Actions,Climate & climate change,Closed,ESRC,6/30/2014,Research Grant,Small Grants,1/1/2013,134141.386
Quantum Optics & Information,University of Southern California,PROJECT PARTNER,Andrew,Green,A Pragmatic Approach to Adiabatic Quantum Computation,"Optics, photonics & lasers",Closed,EPSRC,6/30/2014,Research Grant,Standard Research,1/1/2013,163250.728
Fundamentals of Computing,University of Liverpool,LEAD ORGANISATION,Martin,Gairing,Efficiency and Complexity in Congestion Games,Info. & commun. Technol.,Closed,EPSRC,12/31/2014,Research Grant,First Grant - Revised 2009,1/1/2013,99570.72
Materials Characterisation,University College London,LEAD ORGANISATION,Robert,Palgrave,Discovery of New Multi-phase Photocatalysts,Materials sciences,Closed,EPSRC,12/31/2014,Research Grant,First Grant - Revised 2009,1/1/2013,67100.06
Analytical Science,University of Warwick,LEAD ORGANISATION,Mark,Newton,High Power 200 GHz Pulsed/Continuous Wave (CW) Microwave Source for Dynamic Nuclear Polarization (DNP) Spectroscopy,"Tools, technologies & methods",Closed,EPSRC,12/31/2014,Research Grant,Standard Research,1/1/2013,50046.922
Eng. Dynamics & Tribology,University of Bristol,LEAD ORGANISATION,David,Wagg,Assesment of on-wing engine health based on non-linear dynamic engine behaviour,Mechanical engineering,Closed,EPSRC,3/31/2015,Research Grant,Technology Programme,1/1/2013,147235.876
Direct Dark Matter Detection,University College London,LEAD ORGANISATION,Chamkaur,Ghag,UK INVOLVEMENT IN DIRECT DARK MATTER SEARCHES,Particle astrophysics,Closed,STFC,3/31/2015,Research Grant,Standard (FEC),1/1/2013,93748.2
Direct Dark Matter Detection,Case Western Reserve University,COLLABORATOR,Henrique,Araujo,UK Involvement in Direct Dark Matter Searches,Particle astrophysics,Closed,STFC,5/31/2015,Research Grant,Standard (FEC),1/1/2013,179033.58
Direct Dark Matter Detection,Faculty of Natural Sciences,COLLABORATOR,Vitaly,Kudryavtsev,UK involvement in direct dark matter searches,Particle astrophysics,Closed,STFC,5/31/2015,Research Grant,Standard (FEC),1/1/2013,95011.44
Climate & Climate Change,University of Florida,PROJECT PARTNER,David,Hodell,IODP Survey of the &quot;Shackleton sites&quot; on the Southwest Iberian Margin,Climate & climate change,Active,NERC,12/31/2015,Research Grant,Directed (RP) - NR1,1/1/2013,249236.668
Soil science,Free University of Amsterdam,COLLABORATOR,Michael,Akam,The function and genetic specification of a neglected secretory organ in insects and springtails,Terrest. & freshwater environ.,Closed,BBSRC,12/31/2015,Research Grant,Responsive Mode,1/1/2013,364547.66
Structural Biology,University of Glasgow,LEAD ORGANISATION,Richard John,Cogdell,Dissecting the function of the LH2 pucBA multigene family in Rhodospeudomonas palustris.,Biomolecules & biochemistry,Closed,BBSRC,12/31/2015,Research Grant,Standard Grant,1/1/2013,352655.006
Biomedical neuroscience,ESRC,COFUNDER,Mark,Williams,Identifying the behavioural and biological mechanisms underpinning elite performance in aiming tasks,Medical & health interface,Closed,BBSRC,4/4/2016,Research Grant,Standard Grant,1/1/2013,230036.5
Energy - Nuclear,Indira Gandhi Centre for Atomic Research (IGCAR),COLLABORATOR,Roger,Smith,Atomistic modelling and experimental verification of vitrified matrices for waste encapsulation,Energy,Active,EPSRC,6/30/2016,Research Grant,Standard Research - NR1,1/1/2013,501147.9
Instrumentation Eng. & Dev.,National Institute of Standards and Tech,PROJECT PARTNER,Colin,Lambert,Transition-edge sensors: achieving true potential,Chemical measurement,Active,EPSRC,9/30/2016,Research Grant,Standard Research,1/1/2013,315281.156
Condensed Matter Physics,Nanjing University of Information Science and Technology (NUIST),COLLABORATOR,Jorge,Kohanoff,Support for the UKCP consortium,"Supercond, magn. &quant.fluids",Active,EPSRC,12/31/2016,Research Grant,Standard Research,1/1/2013,18068.656
Magnetism/Magnetic Phenomena,University of Cambridge,LEAD ORGANISATION,Paul,Bristowe,Support for the UKCP Consortium,"Supercond, magn. &quant.fluids",Active,EPSRC,12/31/2016,Research Grant,Standard Research,1/1/2013,34419.808
Magnetism/Magnetic Phenomena,University of Edinburgh,LEAD ORGANISATION,Graeme,Ackland,Support for the UKCP consortium,"Supercond, magn. &quant.fluids",Active,EPSRC,12/31/2016,Research Grant,Standard Research,1/1/2013,16207.46
Magnetism/Magnetic Phenomena,University of Southampton,LEAD ORGANISATION,Chris-Kriton,Skylaris,Support for the UKCP consortium,"Supercond, magn. &quant.fluids",Active,EPSRC,12/31/2016,Research Grant,Standard Research,1/1/2013,7454.166
High Performance Computing,Durham University,LEAD ORGANISATION,Stewart,Clark,Support for the UKCP consortium,"Tools, technologies & methods",Active,EPSRC,12/31/2016,Research Grant,Standard Research,1/1/2013,7582.02
High Performance Computing,University College London,LEAD ORGANISATION,David,Bowler,Support for the UKCP consortium,"Tools, technologies & methods",Active,EPSRC,12/31/2016,Research Grant,Standard Research,1/1/2013,16442.126
Materials Processing,Promethean Particles Ltd,PROJECT PARTNER,Christopher,Rudd,Integrated Molecular Design of Melt-processable Bioresorbable Engineering Nanocomposites for Healthcare (BENcH),Materials processing,Active,EPSRC,12/31/2016,Research Grant,Standard Research,1/1/2013,1201253.074
Climate & Climate Change,Alfred Wegener Inst for Polar & Marine R,PROJECT PARTNER,Karen J.,Heywood,Ocean2ice: Processes and variability of ocean heat transport toward ice shelves in the Amundsen Sea Embayment,Climate & climate change,Active,NERC,2/28/2017,Research Grant,Directed (Research Programmes),1/1/2013,393083.21
Fundamentals of Computing,University of Bristol,FELLOW,R,Clifford,Next generation pattern matching,Info. & commun. Technol.,Active,EPSRC,12/31/2017,Fellowship,EPSRC Fellowship,1/1/2013,941287.32
Structural Biology,Beijing Synchotron Radiation Facility (BSRF),COLLABORATOR,Bonnie,Wallace,The Protein Circular Dichroism Data Bank; the DichroWeb Server; and ValiDichro: Data Sharing; Analysis and Standards Resources for CD Spectroscopy,Biomolecules & biochemistry,Active,BBSRC,12/31/2017,Research Grant,Standard Grant,1/1/2013,685222.214
Analytical Science,University of Reading,LEAD ORGANISATION,Frantisek,Hartl,Electrochemically Gated Single Molecule FETs,"Tools, technologies & methods",Active,EPSRC,4/30/2016,Research Grant,Standard Research,1/4/2013,327957.14
Analytical Science,University of Ulster,COLLABORATOR,Declan,Diver,Microplasma-assisted manipulation of intact airborne bacteria for real-time autonomous detection,"Tools, technologies & methods",Active,EPSRC,3/31/2016,Research Grant,Standard Research,1/7/2013,325372.962
Computer Sys. & Architecture,INTRACOM Holdings SA,PROJECT PARTNER,Qiang,Ni,Cognitive Resource Scheduling Designs Towards Green Wireless Systems,Info. & commun. Technol.,Active,EPSRC,7/6/2016,Research Grant,Standard Research,1/7/2013,300568.216
Condensed Matter Physics,King's College London,LEAD ORGANISATION,Lev,Kantorovich,Thermostatting Open Systems in Non-Equilibrium Computer Simulations,"Supercond, magn. &quant.fluids",Active,EPSRC,1/6/2017,Research Grant,Standard Research,1/7/2013,389668.808
Magnetism/Magnetic Phenomena,University of Nottingham,COLLABORATOR,Thomas,Moore,Domain dynamics in strained metal films with perpendicular magnetic anisotropy,"Supercond, magn. &quant.fluids",Closed,EPSRC,1/10/2015,Research Grant,First Grant - Revised 2009,1/11/2013,99111.004
Fluid Dynamics,Imperial College London,LEAD ORGANISATION,Omar,Matar,Engineering and control of surfactant-laden flows: multi-scale analysis and experiments,Process engineering,Closed,EPSRC,4/1/2015,Research Grant,Standard Research,1/14/2013,336292.152
Rheology,University of Ghent,PROJECT PARTNER,Christopher,Holland,SPICE: Silk Processing In Controlled Environments,Process engineering,Active,EPSRC,1/16/2018,Fellowship,EPSRC Fellowship,1/17/2013,997052.186
Analytical Science,University of Ulster,LEAD ORGANISATION,Paul,Maguire,Microplasma-assisted manipulation of intact airborne bacteria for real-time autonomous detection,"Tools, technologies & methods",Active,EPSRC,1/20/2016,Research Grant,Standard Research,1/21/2013,645303.736
Catalysis & Applied Catalysis,Newcastle University,LEAD ORGANISATION,Dehong,Huo,Photo-catalytic Microbubble reactor for conversion of CO2 to Fuels,Catalysis & surfaces,Closed,EPSRC,3/22/2014,Research Grant,First Grant - Revised 2009,1/23/2013,100129.724
Light-Matter Interactions,Max Planck Institute for the Physics of Complex Systems,COLLABORATOR,Carla,Faria,Orbit-Based Methods for Multielectron Systems in Strong Fields,Atomic & molecular physics,Active,EPSRC,8/9/2016,Research Grant,Standard Research,1/23/2013,313960.2
Climate & Climate Change,University of Leeds,FELLOW,Claire,Quinn,Marks and Spencer Knowledge Exchange Fellowship,Climate & climate change,Closed,NERC,1/27/2015,Fellowship,Knowledge Exchange Fellowships,1/28/2013,198001.43
Stratospheric Processes,Bureau of Meteorology Res Ctr (BMRC),PROJECT PARTNER,Andrew,Charlton-Perez,Stratospheric Network for the Assessment of Predictability (SNAP),Atmospheric phys. & chemistry,Active,NERC,2/28/2016,Research Grant,IOF,1/28/2013,150546.344
Catalysis & Applied Catalysis,University of Oxford,LEAD ORGANISATION,Edward,Anderson,Cascade Catalysis: From Alkynes to Polycycles,Catalysis & surfaces,Closed,EPSRC,1/30/2015,Research Grant,Standard Research,1/31/2013,235425.772
Materials Characterisation,Palatin Technologies,COLLABORATOR,Andy,Monkman,Enhanced Fluorescent OLEDs; through Triplet Fusion,Materials sciences,Active,EPSRC,7/30/2016,Research Grant,Standard Research,1/31/2013,362589.506
Tropospheric Processes,University of Bristol,PROJECT PARTNER,David,Topping,Novel approaches for quantifying the highly uncertain thermodynamics and kinetics of atmospheric gas-to-particle conversion,Atmospheric phys. & chemistry,Active,NERC,1/29/2017,Research Grant,Standard Grant (FEC),1/31/2013,427420.21
Quantum Optics & Information,University of Gdansk,PROJECT PARTNER,Fernando,Guadalupe Santos Lins Brandao,Quantum Correlations; Data Hiding; and Quantum Many-body Systems,"Optics, photonics & lasers",Closed,EPSRC,6/16/2013,Fellowship,EPSRC Fellowship,2/1/2013,975170.584
Palaeoenvironments,University of Plymouth,LEAD ORGANISATION,Christopher,Smart,High resolution oxygen isotope stratigraphy of Integrated Ocean Drilling Program sites U1394; U1395 and U1396; off-shore Montserrat; Lesser Antilles,Climate & climate change,Closed,NERC,9/30/2013,Research Grant,Directed (Research Programmes),2/1/2013,47483.466
Electronic Devices & Subsys.,e2v technologies plc,PROJECT PARTNER,Graeme,Burt,Harmonic and higher order mode mm-wave klystrons,Info. & commun. Technol.,Closed,STFC,1/31/2014,Research Grant,Mini IPS (fEC),2/1/2013,43770.04
Biomaterials,Leeds City Council,PROJECT PARTNER,Andrew,Wilson,Visualising Animal Hard Tissues,Atomic & molecular physics,Closed,AHRC,3/31/2014,Research Grant,Development Grants,2/1/2013,78009.77
Large Scale Dynamics/Transport,Lancaster University,LEAD ORGANISATION,James Oliver Felix,Wild,Atmospheric Chemistry In The Earth System (ACITES) Network,Atmospheric phys. & chemistry,Closed,NERC,1/31/2015,Research Grant,Directed (RP) - NR1,2/1/2013,168399.08
Tropospheric Processes,University of York,LEAD ORGANISATION,Alastair,Lewis,Airborne Measurements of Ozone Precursor Fluxes - Proof of Concept,Atmospheric phys. & chemistry,Closed,NERC,1/31/2015,Research Grant,Standard Grant (FEC),2/1/2013,94437.258
Climate & Climate Change,Russian Academy of Science Siberia,PROJECT PARTNER,Anton,Vaks,Reconstruction of Pliocene-Middle Pleistocene evolution of Siberian permafrost using U-Pb dating of speleothems,Climate & climate change,Closed,NERC,1/31/2015,Research Grant,Standard Grant (FEC),2/1/2013,295619.534
Climate & Climate Change,University of Nottingham,LEAD ORGANISATION,Sarah Elizabeth,Metcalfe,Climate variability over the circum-Caribbean region during the past 1200 years from oxygen-isotope analyses of lake sediments,Climate & climate change,Closed,NERC,5/29/2015,Research Grant,Standard Grant (FEC),2/1/2013,18375.52
Digital Signal Processing,IRSTEA National Research Institute Science and Technology,COLLABORATOR,Christopher,Keylock,Advanced MIMO Radar Development for Geophysical Imaging Applications,Info. & commun. Technol.,Active,EPSRC,1/31/2016,Research Grant,Standard Research,2/1/2013,36185.65
Condensed Matter Physics,University of York,LEAD ORGANISATION,Jun,Yuan,Physics and Applications of Electron Vortex Beams,"Supercond, magn. &quant.fluids",Active,EPSRC,1/31/2016,Research Grant,Standard Research,2/1/2013,656193.804
Materials Characterisation,University of Pennsylvania,PROJECT PARTNER,John,Irvine,Materials World Network: Tailoring Electrocatalytic Materials by Controlled Surface Exsolution,Materials sciences,Closed,EPSRC,1/31/2016,Research Grant,Standard Research,2/1/2013,298222.452
Condensed Matter Physics,Lancaster University,LEAD ORGANISATION,Henning,Schomerus,Orbit-Based Methods for Multielectron Systems in Strong Fields,"Supercond, magn. &quant.fluids",Active,EPSRC,3/15/2016,Research Grant,Standard Research,2/1/2013,274967.938
Materials Characterisation,University of Greenwich,LEAD ORGANISATION,Koulis,Pericleous,Disruptive Solidification Microstructures via Thermoelectric Control,Materials sciences,Active,EPSRC,7/31/2016,Research Grant,Standard Research,2/1/2013,278789.8
Stratospheric Processes,Lancaster University,LEAD ORGANISATION,Plamen,Angelov,Coordinated Airborne Studies in the Tropics (CAST),Atmospheric phys. & chemistry,Active,NERC,7/31/2016,Research Grant,Directed (Research Programmes),2/1/2013,77220.688
Medical Imaging,University of Aberdeen,LEAD ORGANISATION,David,Lurie,Zero-Field MRI to Enhance Diagnosis of Neurodegeneration,"Tools, technologies & methods",Active,EPSRC,8/31/2016,Research Grant,Standard Research,2/1/2013,979173.2583
Climate & Climate Change,University of Exeter,LEAD ORGANISATION,John,Thuburn,A scalable dynamical core for Next Generation Weather and Climate Prediction - Phase 2,Climate & climate change,Active,NERC,8/31/2016,Research Grant,Directed (RP) - NR1,2/1/2013,260037.952
Materials Synthesis & Growth,Imperial College London,LEAD ORGANISATION,Anthony,Kinloch,Engineering with Graphene for Multi-functional Coatings and Fibre-Composites,Materials sciences,Active,EPSRC,1/31/2017,Research Grant,Standard Research,2/1/2013,1354791.448
Eng. Dynamics & Tribology,University of Bristol,FELLOW,Simon,Neild,Dynamic Design Tools For Understanding and Exploiting Nonlinearity in Structures,Mechanical engineering,Active,EPSRC,1/31/2018,Fellowship,EPSRC Fellowship,2/1/2013,749266.724
Bioenergy,Centre for Process Innovation Limited,PROJECT PARTNER,Philip,Dyer,MacroBioCrude: Developing an Integrated Supply and Processing Pipeline for the Sustained Production of Ensiled Macroalgae-derived Hydrocarbon Fuels,Atomic & molecular physics,Active,EPSRC,1/31/2018,Research Grant,Standard Research,2/1/2013,1554152.94
Fluid Dynamics,Loughborough University,LEAD ORGANISATION,Victor,Starov,Engineering and control of surfactant-laden flows: multi-scale analysis and experiments,Process engineering,Closed,EPSRC,2/3/2015,Research Grant,Standard Research,2/4/2013,239837.048
Catalysis & Applied Catalysis,University of Sheffield,LEAD ORGANISATION,Simon,Jones,Preparation and Applications of New Highly Active P-Chiral Phosphine Oxide Catalysts,Catalysis & surfaces,Active,EPSRC,2/3/2016,Research Grant,Standard Research,2/4/2013,318624.926
Materials Characterisation,University of Sheffield,LEAD ORGANISATION,Steven,Armes,Bio-inspired Approaches to Functional Nano-structured Materials,Materials sciences,Active,EPSRC,2/3/2016,Research Grant,Standard Research,2/4/2013,353846.47
B Physics/Flavour Physics,University of Birmingham,LEAD ORGANISATION,Cristina,Lazzeroni,NA62 Common Fund,Particle physics - experiment,Active,STFC,2/5/2016,Research Grant,Standard (FEC),2/6/2013,108449.64
Aerodynamics,City University London,LEAD ORGANISATION,Ranjan,Banerjee,Dynamic Stiffness Formulation for Plates with Arbitray Boundary Conditions through the Solution of the Biharmonic Equation,Mechanical engineering,Active,EPSRC,8/5/2016,Research Grant,Standard Research,2/6/2013,332774.89
Image & Vision Computing,Queen Mary; University of London,LEAD ORGANISATION,Andrea,Cavallaro,Multisource audio-visual production from user-generated content,Info. & commun. Technol.,Active,EPSRC,1/31/2016,Research Grant,Standard Research,2/8/2013,362888.91
Tectonic Processes,University of Southampton,LEAD ORGANISATION,Damon,Teagle,Dating mineral formation during mid-ocean ridge flank hydrothermal circulation: Evidence from the Juan de Fuca Ridge; IODP Expedition 327,Geosciences,Closed,NERC,8/9/2013,Research Grant,Directed (Research Programmes),2/10/2013,35803.456
Heat & Mass Transfer,University of Bath,LEAD ORGANISATION,GD,Lock,Experimental and theoretical modelling of hot-gas ingestion through gas-turbine rim seals,Mechanical engineering,Active,EPSRC,8/10/2016,Research Grant,Standard Research,2/12/2013,532613.604
